Step,Loss,Batch Size,Train Accuracy,Test Accuracy
207,3.2618163,16,0.1875,
208,2.7068174,16,0.25,
209,2.9344988,16,0.0625,
210,2.900972,16,0.1875,
211,2.9252095,16,0.1875,
212,2.8292685,16,0.0625,
213,3.169938,16,0.0,
214,3.0110216,16,0.1875,
215,2.7422624,16,0.125,
216,2.5883896,16,0.125,
217,2.6797807,16,0.1875,
218,2.9367776,16,0.0625,
219,2.5474658,16,0.1875,
220,3.8262076,16,0.0,
221,2.6985977,16,0.3125,
222,3.7346668,16,0.0625,
223,2.9195175,16,0.1875,
224,2.9222136,16,0.0625,
225,3.1240613,16,0.1875,
226,2.7971818,16,0.25,
227,3.1489208,16,0.125,
228,3.0459106,16,0.0625,
229,2.7558324,16,0.1875,
230,2.8450556,16,0.25,
231,2.804398,16,0.1875,
232,2.751934,16,0.0625,
233,2.7772107,16,0.125,
234,2.7222984,16,0.3125,
235,2.6906502,16,0.1875,
236,2.4289865,16,0.25,
237,3.03749,16,0.125,
238,2.6618352,16,0.1875,
239,3.1812484,16,0.0625,
240,2.9442844,16,0.1875,
241,2.7251701,16,0.1875,
242,2.908608,16,0.125,
243,2.5782275,16,0.1875,
244,2.7120845,16,0.125,
245,2.9728642,16,0.0625,
246,2.8457956,16,0.1875,
247,2.7447636,16,0.0625,
248,2.931159,16,0.0,
249,2.8419971,16,0.0625,
250,2.6742518,16,0.1875,
251,2.779343,16,0.1875,
252,3.1986508,16,0.0625,
253,2.9557211,16,0.125,
254,2.9070535,16,0.125,
255,2.8487992,16,0.25,
256,2.7661004,16,0.125,
257,2.6274784,16,0.125,
258,2.8148468,16,0.125,
259,2.8555753,16,0.0625,
260,2.532049,16,0.3125,
261,3.054141,16,0.0625,
262,3.047574,16,0.125,
263,2.97015,16,0.0,
264,2.9200525,16,0.0625,
265,2.8738995,16,0.1875,
266,2.119445,16,0.4375,
267,3.2621574,16,0.0625,
268,2.958362,16,0.25,
269,2.6799822,16,0.1875,
270,2.6767461,16,0.125,
271,2.5911248,16,0.125,
272,2.9370952,16,0.25,
273,2.5743499,16,0.0625,
274,3.4844487,16,0.0,
275,3.0839875,16,0.0,
276,3.068112,16,0.0625,
277,2.6542244,16,0.0625,
278,2.4712029,16,0.3125,
279,2.5909195,16,0.3125,
280,3.5322642,16,0.0625,
281,2.5235834,16,0.1875,
282,2.4907355,16,0.1875,
283,2.677916,16,0.125,
284,2.347919,16,0.375,
285,3.065296,16,0.125,
286,3.0308547,16,0.0625,
287,2.6248887,16,0.1875,
288,3.057065,16,0.0625,
289,2.6717525,16,0.0625,
290,3.0834837,16,0.0,
291,2.3416195,16,0.125,
292,2.7225106,16,0.25,
293,3.0547326,16,0.125,
294,2.543984,16,0.25,
295,2.458169,16,0.3125,
296,2.9221957,16,0.1875,
297,2.5170128,16,0.25,
298,3.1472185,16,0.0625,
299,2.578729,16,0.1875,
300,2.6428902,16,0.1875,0.1734
301,2.753989,16,0.25,
302,3.1732495,16,0.0625,
303,2.9367678,16,0.125,
304,2.505739,16,0.375,
305,2.8747916,16,0.1875,
306,2.5826783,16,0.1875,
307,2.9612374,16,0.125,
308,2.895627,16,0.3125,
309,3.0957243,16,0.0,
310,2.6891983,16,0.125,
311,2.4327722,16,0.375,
312,2.8685732,16,0.125,
313,2.8154402,16,0.25,
314,2.4725785,16,0.3125,
315,2.5269816,16,0.125,
316,2.5248284,16,0.1875,
317,2.6085954,16,0.25,
318,2.4143095,16,0.1875,
319,3.123066,16,0.0625,
320,2.5870643,16,0.1875,
321,2.983189,16,0.0,
322,2.7067988,16,0.0625,
323,2.6739197,16,0.0625,
324,3.1186063,16,0.0,
325,2.9193223,16,0.125,
