Step,Loss,Batch Size,Train Accuracy,Test Accuracy
181,2.1686697,16,0.3125,
182,2.1360068,16,0.1875,
183,1.8872359,16,0.25,
184,2.0080085,16,0.3125,
185,1.6714208,16,0.625,
186,1.9973673,16,0.1875,
187,1.9331312,16,0.3125,
188,1.7566228,16,0.25,
189,1.7588004,16,0.3125,
190,2.3865418,16,0.0625,
191,1.8569257,16,0.1875,
192,1.8626745,16,0.25,
193,1.6918161,16,0.375,
194,2.0014694,16,0.25,
195,2.1387305,16,0.25,
196,1.8742973,16,0.1875,
197,1.693415,16,0.375,
198,1.7109292,16,0.4375,
199,1.9804611,16,0.375,
200,2.1452954,16,0.3125,0.3021
201,1.7383251,16,0.3125,
202,1.7477101,16,0.125,
203,1.5073123,16,0.3125,
204,1.5965371,16,0.4375,
205,1.8763475,16,0.3125,
206,1.9097614,16,0.25,
207,1.6119819,16,0.3125,
208,1.8867891,16,0.3125,
209,2.5413456,16,0.0625,
210,1.9028528,16,0.125,
211,2.2013564,16,0.125,
212,2.2917683,16,0.125,
213,2.091909,16,0.1875,
214,2.1066203,16,0.1875,
215,2.2918344,16,0.0,
216,1.829535,16,0.375,
217,2.1072743,16,0.125,
218,1.7147123,16,0.375,
219,1.6543953,16,0.375,
220,2.1381617,16,0.25,
221,2.0919452,16,0.25,
222,1.9941814,16,0.1875,
223,1.8901184,16,0.3125,
224,1.8032691,16,0.3125,
225,1.8931103,16,0.4375,
226,1.8324723,16,0.4375,
227,2.0817819,16,0.0625,
228,2.1999726,16,0.3125,
229,2.08227,16,0.0625,
230,1.9803971,16,0.125,
231,1.9411564,16,0.25,
232,1.7547312,16,0.3125,
233,2.0924716,16,0.25,
234,1.8606275,16,0.3125,
235,1.6285937,16,0.4375,
236,1.811874,16,0.3125,
237,1.843976,16,0.1875,
238,1.9012444,16,0.1875,
239,1.8524597,16,0.25,
240,1.927347,16,0.125,
241,1.8510458,16,0.3125,
242,3.1085634,16,0.1875,
243,2.0375073,16,0.25,
244,1.8754156,16,0.375,
245,1.7548423,16,0.4375,
246,1.6715281,16,0.3125,
247,1.7096126,16,0.3125,
248,1.9463123,16,0.25,
249,1.9295607,16,0.25,
250,2.051014,16,0.125,
251,1.786867,16,0.6875,
252,1.5940163,16,0.5625,
253,2.111565,16,0.25,
254,1.9056296,16,0.375,
255,1.9162598,16,0.375,
256,1.6089214,16,0.5625,
257,1.4385132,16,0.5625,
258,1.745128,16,0.25,
259,1.77762,16,0.375,
260,1.790282,16,0.3125,
261,2.1242359,16,0.125,
262,1.5059694,16,0.625,
263,2.0327165,16,0.25,
264,2.1373878,16,0.1875,
265,1.7304549,16,0.1875,
266,1.9134115,16,0.5,
267,1.4766111,16,0.375,
268,1.7029473,16,0.375,
269,1.8911691,16,0.1875,
270,1.8661413,16,0.25,
271,1.9078662,16,0.25,
272,1.8812072,16,0.25,
273,1.6081955,16,0.4375,
274,1.7505099,16,0.25,
275,1.7431021,16,0.375,
276,2.135704,16,0.3125,
277,1.6525743,16,0.4375,
278,2.0135496,16,0.3125,
279,1.9541836,16,0.1875,
280,2.039761,16,0.3125,
281,1.6627781,16,0.375,
282,1.5940355,16,0.4375,
283,2.5528302,16,0.3125,
284,3.0954604,16,0.0,
285,1.8081061,16,0.4375,
